2023-11-23 17:20:33.438736
dependency,source,is_git_supported
jaraco-text,https://github.com/jaraco/jaraco.text,True
youtube-dl,https://github.com/ytdl-org/youtube-dl,True
flask,https://github.com/pallets/flask,True
lti-consumer-xblock,https://github.com/openedx/xblock-lti-consumer,True
regex,https://github.com/mrabarnett/mrab-regex,True
py,https://github.com/pytest-dev/py,True
cycler,https://github.com/matplotlib/cycler,True
pydantic-core,https://github.com/sponsors/samuelcolvin,True
filelock,https://github.com/tox-dev/py-filelock,True
click-didyoumean,https://github.com/click-contrib/click-didyoumean,True
yagocd,https://github.com/grundic/yagocd,True
pathspec,https://github.com/cpburnz/python-pathspec,True
ansible,https://github.com/ansible-community/ansible-build-data,True
imagesize,https://github.com/shibukawa/imagesize_py,True
ipaddress,https://github.com/phihag/ipaddress,True
asgiref,https://github.com/django/asgiref,True
django-taggit-autosuggest,https://bitbucket.org/fabian/django-taggit-autosuggest,True
filetype,https://github.com/h2non/filetype.py,True
tomli,https://github.com/hukkin/tomli,True
types-pytz,https://github.com/python/typeshed,True
pyhcl,https://github.com/virtuald/pyhcl,True
accessible-pygments,https://github.com/Quansight-Labs/accessible-pygments,True
python-swiftclient,https://opendev.org/openstack/python-swiftclient,True
annotated-types,https://github.com/annotated-types/annotated-types,True
pygeoip,https://github.com/appliedsec/pygeoip,True
djangorestframework-xml,https://github.com/jpadilla/django-rest-framework-xml,True
nodeenv,https://github.com/ekalinin/nodeenv,True
django-celery-beat,https://github.com/celery/django-celery-beat,True
django-admin-sortable2,https://github.com/jrief/django-admin-sortable2,True
tzdata,https://github.com/python/tzdata,True
future,https://github.com/PythonCharmers/python-future,True
jenkinsapi,https://github.com/pycontribs/jenkinsapi,True
docopt,https://github.com/docopt/docopt,True
flask-sslify,https://github.com/kennethreitz/flask-sslify,True
graphviz,https://github.com/xflr6/graphviz,True
urllib3,https://github.com/urllib3/urllib3,True
trio-websocket,https://github.com/python-trio/trio-websocket,True
uritemplate,https://github.com/python-hyper/uritemplate,True
filechunkio,http://bitbucket.org/fabian/filechunkio,True
path,https://github.com/jaraco/path,True
user-agents,https://github.com/selwin/python-user-agents,True
html2text,https://github.com/Alir3z4/html2text,True
sphinxcontrib-napoleon,https://github.com/sphinx-contrib/napoleon,True
needle,https://github.com/python-needle/needle,True
drf-flex-fields,https://github.com/rsinger86/drf-flex-fields,True
edx-when,https://github.com/openedx/edx-when,True
sphinx-design,https://github.com/executablebooks/sphinx-design,True
path.py,https://github.com/jaraco/path,True
jsonschema-path,https://github.com/p1c2u/jsonschema-path,True
django-widget-tweaks,https://github.com/jazzband/django-widget-tweaks,True
pkginfo,https://bazaar.launchpad.net/~tseaver/pkginfo/trunk/files,False
django-log-request-id,https://github.com/dabapps/django-log-request-id,True
fsspec,https://github.com/fsspec/filesystem_spec,True
pycodestyle,https://github.com/pycqa/pycodestyle,True
pyparsing,https://github.com/pyparsing/pyparsing,True
edx-toggles,https://github.com/openedx/edx-toggles,True
optimizely-sdk,https://github.com/optimizely/python-sdk,True
pyrsistent,https://github.com/tobgu/pyrsistent,True
django-cors-headers,https://github.com/adamchainz/django-cors-headers,True
mysql-connector-python,No Github Link,False
mdurl,https://github.com/executablebooks/mdurl,True
gitpython,https://github.com/gitpython-developers/GitPython,True
django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,True
pbr,https://opendev.org/openstack/pbr,True
singledispatch,https://github.com/jaraco/singledispatch,True
pytest-pylint,https://github.com/carsongee/pytest-pylint,True
edx-drf-extensions,https://github.com/openedx/edx-drf-extensions,True
moto,https://github.com/getmoto/moto,True
anyio,https://github.com/agronholm/anyio,True
caniusepython3,https://github.com/brettcannon/caniusepython3,True
google-cloud-storage,https://github.com/googleapis/python-storage,True
virtualenv,https://github.com/pypa/virtualenv,True
sphinxext-rediraffe,https://github.com/wpilibsuite/sphinxext-rediraffe,True
websocket-client,https://github.com/websocket-client/websocket-client.git,True
argcomplete,https://github.com/kislyuk/argcomplete,True
recommender-xblock,https://github.com/edx/RecommenderXBlock,True
django-celery-results,https://github.com/celery/django-celery-results,True
django-treebeard,https://github.com/django-treebeard/django-treebeard,True
tinycss2,https://github.com/Kozea/tinycss2,True
